1,010,889 bars  2017-01-01 -> 2026-08-12  (data: real)

inner-train / spot
  arm                   c    vol       final     DD  sharpe  fills  clamp
  buy_and_hold        ---  0.931 $    29,803  84.1%    1.38      1  0.0%
  kelly_regime_v4     ---  0.399 $    18,477  43.3%    2.03    467  7.4%
  rebalanced_hold     0.1  0.093 $     1,609  13.4%    1.32    225  0.0%
  rebalanced_hold    0.15  0.140 $     2,043  19.5%    1.35    214  0.0%
  rebalanced_hold     0.2  0.186 $     2,505  26.3%    1.33    180  0.0%
  rebalanced_hold     0.3  0.280 $     3,933  35.8%    1.36    154  0.0%
  rebalanced_hold     0.4  0.373 $     5,994  46.9%    1.39    122  0.0%
  rebalanced_hold     0.5  0.468 $     8,353  55.5%    1.37     81  0.0%
  rebalanced_hold    0.65  0.611 $    12,940  67.2%    1.35     37  0.0%
  rebalanced_hold     0.8  0.762 $    19,502  76.5%    1.36     11  0.0%
  rebalanced_hold       1  0.931 $    29,803  84.1%    1.38      1  0.0%
  static_hold         0.1  0.421 $     3,880  58.3%    1.02      1  0.0%
  static_hold        0.15  0.514 $     5,320  65.8%    1.07      1  0.0%
  static_hold         0.2  0.581 $     6,761  70.3%    1.11      1  0.0%
  static_hold         0.3  0.674 $     9,641  75.4%    1.18      1  0.0%
  static_hold         0.4  0.738 $    12,521  78.3%    1.23      1  0.0%
  static_hold         0.5  0.786 $    15,402  80.1%    1.26      1  0.0%
  static_hold        0.65  0.842 $    19,722  81.9%    1.31      1  0.0%
  static_hold         0.8  0.885 $    24,042  83.0%    1.34      1  0.0%
  static_hold           1  0.931 $    29,803  84.1%    1.38      1  0.0%

inner-train / futures
  arm                   c    vol       final     DD  sharpe  fills  clamp
  buy_and_hold        ---  1.133 $        18  99.0%   -0.29      2  0.0%
  kelly_regime_v4     ---  0.411 $    30,344  35.3%    2.28    261  0.0%
  rebalanced_hold     0.1  0.093 $     1,611  13.3%    1.33    225  0.0%
  rebalanced_hold    0.15  0.140 $     2,047  19.5%    1.35    214  0.0%
  rebalanced_hold     0.2  0.186 $     2,515  26.2%    1.33    182  0.0%
  rebalanced_hold     0.3  0.280 $     3,959  35.5%    1.37    156  0.0%
  rebalanced_hold     0.4  0.373 $     6,010  46.8%    1.39    122  0.0%
