trial,start_idx,start_date,end_date,length_days
1,754830,2024-03-05 22:30:00+00:00,2024-07-30 22:30:00+00:00,147
2,392260,2020-09-24 00:20:00+00:00,2022-02-15 00:20:00+00:00,509
3,780457,2024-06-02 22:05:00+00:00,2025-06-04 22:05:00+00:00,367
4,682818,2023-06-29 21:30:00+00:00,2023-11-21 21:30:00+00:00,145
5,110151,2018-01-18 11:15:00+00:00,2018-08-25 11:15:00+00:00,219
6,866829,2025-03-29 19:45:00+00:00,2026-05-30 19:45:00+00:00,427
7,651960,2023-03-14 18:00:00+00:00,2024-09-25 18:00:00+00:00,561
8,675270,2023-06-03 16:30:00+00:00,2024-12-03 16:30:00+00:00,549
9,134191,2018-04-11 22:35:00+00:00,2019-06-03 22:35:00+00:00,418
10,386505,2020-09-04 00:45:00+00:00,2022-05-25 00:45:00+00:00,628
11,345561,2020-04-14 20:45:00+00:00,2021-05-29 20:45:00+00:00,410
12,883295,2025-05-25 23:55:00+00:00,2025-12-18 23:55:00+00:00,207
13,549683,2022-03-24 14:55:00+00:00,2023-11-04 14:55:00+00:00,590
14,753584,2024-03-01 14:40:00+00:00,2025-02-11 14:40:00+00:00,347
15,405015,2020-11-07 07:15:00+00:00,2022-01-20 07:15:00+00:00,439
16,222794,2019-02-13 14:10:00+00:00,2020-02-26 14:10:00+00:00,378
17,547096,2022-03-15 15:20:00+00:00,2022-08-11 15:20:00+00:00,149
18,73988,2017-09-14 21:40:00+00:00,2019-07-05 21:40:00+00:00,659
19,688069,2023-07-18 03:05:00+00:00,2025-04-18 03:05:00+00:00,640
20,598463,2022-09-09 23:55:00+00:00,2023-06-03 23:55:00+00:00,267
21,729346,2023-12-08 10:50:00+00:00,2024-06-20 10:50:00+00:00,195
22,318237,2020-01-10 23:45:00+00:00,2021-07-02 23:45:00+00:00,539
23,944762,2025-12-25 10:10:00+00:00,2026-05-07 10:10:00+00:00,133
24,808853,2024-09-09 12:25:00+00:00,2025-09-19 12:25:00+00:00,375
25,674502,2023-06-01 00:30:00+00:00,2024-11-06 00:30:00+00:00,524
26,182985,2018-09-28 08:45:00+00:00,2020-04-27 08:45:00+00:00,577
27,440684,2021-03-11 03:40:00+00:00,2022-01-28 03:40:00+00:00,323
28,61170,2017-08-01 09:30:00+00:00,2018-09-14 09:30:00+00:00,409
29,155920,2018-06-26 09:20:00+00:00,2019-09-09 09:20:00+00:00,440
30,586453,2022-07-30 07:05:00+00:00,2024-02-16 07:05:00+00:00,566
31,612688,2022-10-29 09:20:00+00:00,2024-09-09 09:20:00+00:00,681
32,888235,2025-06-12 03:35:00+00:00,2026-05-03 03:35:00+00:00,325
33,311795,2019-12-19 14:55:00+00:00,2020-12-06 14:55:00+00:00,353
34,317526,2020-01-08 12:30:00+00:00,2021-11-08 12:30:00+00:00,670
35,468238,2021-06-14 19:50:00+00:00,2021-10-30 19:50:00+00:00,138
36,177484,2018-09-09 06:20:00+00:00,2020-05-01 06:20:00+00:00,600
37,136957,2018-04-21 13:05:00+00:00,2019-05-12 13:05:00+00:00,386
38,420363,2020-12-30 14:15:00+00:00,2022-06-13 14:15:00+00:00,530
39,227537,2019-03-02 01:25:00+00:00,2019-12-28 01:25:00+00:00,301
40,597720,2022-09-07 10:00:00+00:00,2023-12-02 10:00:00+00:00,451
