config,pbo_contribution
h26_d0.15,0.2
h26_d0.2,0.08888888888888889
h26_d0.1,0.06666666666666667
h24_d0.2,0.044444444444444446
h28_d0.1,0.044444444444444446
h24_d0.1,0.044444444444444446
h24_d0.05,0.022222222222222223
h26_d0.05,0.022222222222222223
h28_d0.15,0.022222222222222223
h24_d0.075,0.022222222222222223
h16_d0.05,0.0
h16_d0.1,0.0
h16_d0.075,0.0
h16_d0.15,0.0
h16_d0.2,0.0
h18_d0.1,0.0
h18_d0.15,0.0
h18_d0.05,0.0
h18_d0.075,0.0
h22_d0.15,0.0
h22_d0.1,0.0
h22_d0.075,0.0
h22_d0.05,0.0
h20_d0.2,0.0
h20_d0.15,0.0
h20_d0.1,0.0
h20_d0.075,0.0
h20_d0.05,0.0
h18_d0.2,0.0
h22_d0.2,0.0
h24_d0.15,0.0
h26_d0.075,0.0
h28_d0.05,0.0
h28_d0.075,0.0
h28_d0.2,0.0
