strategy,config,slice,market,fee,slippage_bps,final_balance,profit_pct,sharpe,max_dd_pct,trades,fills,trades_per_day,fills_per_day,time_in_market_pct,fees_paid,liquidated,days,seconds
coin_betting,frozen,full,spot,0.001,0.0,2904.0790807893723,190.40790807893723,0.7261595004486446,28.33904263599748,42,115,0.011965705433534245,0.032763241068010436,62.791463751213044,10.354203581338929,False,3510.03125,24.11718225479126
coin_betting,frozen,full,futures,0.0005,0.0,2984.264684407722,198.4264684407722,0.6644873875848888,35.04931537260374,85,175,0.024216308615485974,0.049857105973059354,92.70661764051246,6.156182551177574,False,3510.03125,24.729852199554443
focal_levels,frozen,full,spot,0.001,0.0,4.947295758706924,-99.50527042412931,-1.7336791014120598,99.52424663292535,2872,5744,0.8182263334550084,1.6364526669100168,4.986304134281806,743.7055357960216,False,3510.03125,30.807905197143555
focal_levels,frozen,full,futures,0.0005,0.0,5.004885294826608,-99.49951147051735,-1.8330155582467014,99.54055625731078,1883,3766,0.5364624602701187,1.0729249205402374,3.053945586508509,349.6852035391019,False,3510.03125,31.18793797492981
intraday_momentum,frozen,full,spot,0.001,0.0,396.5657608179343,-60.343423918206575,-0.4638792371873117,66.6959686306861,949,1898,0.27036796324819046,0.5407359264963809,4.5061327208031745,1437.6444516966073,False,3510.03125,19.218501806259155
intraday_momentum,frozen,full,futures,0.0005,0.0,994.2200019336843,-0.5779998066315684,0.11930535880628526,53.91488416439023,1711,3422,0.48746004754231176,0.9749200950846235,8.124334125705197,2340.8193653917483,False,3510.03125,19.009238958358765
jump_momentum,frozen,full,spot,0.001,0.0,454.72288403963023,-54.52771159603698,-0.3577091880901461,70.4166700308231,1387,2774,0.3951531770550476,0.7903063541100952,1.5766320535686906,2621.059668531182,False,3510.03125,16.739534378051758
jump_momentum,frozen,full,futures,0.0005,0.0,480.57903411438895,-51.94209658856111,-0.13535857337631296,64.35452259993978,2963,5926,0.8441520285609992,1.6883040571219985,3.3873155212886874,2140.62416247695,False,3510.03125,16.292686462402344
level_k,frozen,full,spot,0.001,0.0,4.998578173969718,-99.50014218260303,-2.3107682568779473,99.5274280781815,2941,5882,0.8378842780958147,1.6757685561916293,4.158320052943498,1225.7021653136394,False,3510.03125,11.703222274780273
level_k,frozen,full,futures,0.0005,0.0,5.006010173049068,-99.4993989826951,-1.6519473545458523,99.52071429689403,4456,8912,1.2695043669483,2.5390087338966,4.962364809588392,927.2410626472594,False,3510.03125,12.461616039276123
mfg_crowding,frozen,full,spot,0.001,0.0,4432.591988840348,343.2591988840348,0.6200630357071658,58.319258840490264,687,12076,0.19572475316281016,3.440425209889513,53.638035432179,6410.778700222027,False,3510.03125,11.883257865905762
mfg_crowding,frozen,full,futures,0.0005,0.0,8111.703639070953,711.1703639070953,0.7174847027307256,50.95179489902068,1375,5098,0.3917344040740378,1.4524087214323234,98.2752804709518,2933.703456750995,False,3510.03125,12.72292709350586
noise_area_breakout,frozen,full,spot,0.001,0.0,42.26255498884104,-95.7737445011159,-1.922458079777626,95.8023460465933,3431,6932,0.9774841748203809,1.9749111920299856,11.939490883766664,1229.0477167352178,False,3510.03125,13.229172706604004
noise_area_breakout,frozen,full,futures,0.0005,0.0,49.84819751751175,-95.01518024824883,-1.1576695301462916,95.05752963794124,6568,13138,1.871208411606022,3.742986618708879,22.24883246330705,979.4658302771096,False,3510.03125,13.678128242492676
robust_kelly,frozen,full,spot,0.001,0.0,1889.0843309251186,88.90843309251186,0.38578208346545995,61.00713434274555,710,8567,0.20227740137641226,2.4407190106925687,14.1291477105795,3437.2556268347566,False,3510.03125,13.118806600570679
robust_kelly,frozen,full,futures,0.0005,0.0,6189.840900426785,518.9840900426785,0.6800692308427577,60.405840655452046,1214,6384,0.3458658665788232,1.8187872258972053,21.268705070487464,5366.256465772743,False,3510.03125,13.262289047241211
session_drift,frozen,full,spot,0.001,0.0,409.01103268418296,-59.0988967315817,-1.985184938396034,59.1783108251385,325,650,0.09259176823568166,0.18518353647136332,0.38698610826707974,413.8784143885816,False,3510.03125,11.03751516342163
session_drift,frozen,full,futures,0.0005,0.0,397.474160590239,-60.2525839409761,-1.6424694556704467,60.39838560267599,592,1184,0.16865946706314935,0.3373189341262987,0.7039348533815285,373.15476292892856,False,3510.03125,11.149840831756592
vwap_reversion,frozen,full,spot,0.001,0.0,509.1124562597768,-49.088754374022315,-0.029959720965721227,90.74788906754466,1154,2308,0.3287720016737743,0.6575440033475486,6.5978559465975,4333.17270180743,False,3510.03125,13.271491527557373
vwap_reversion,frozen,full,futures,0.0005,0.0,255.22531326640737,-74.47746867335927,-0.08863937227006476,97.92904060538515,2277,4554,0.6487121731466066,1.2974243462932131,14.088193659244487,5370.0806531730805,False,3510.03125,13.457205057144165
buy_and_hold,default,full,spot,0.001,0.0,66044.0510898356,6504.40510898356,0.9527283322558806,84.06747360120639,1,1,0.00028489774841748206,0.00028489774841748206,99.99990107717069,0.9990000000000001,False,3510.03125,10.035852193832397
buy_and_hold,default,full,futures,0.0005,0.0,18.045197864321608,-98.19548021356785,-0.18776374632148046,99.04920966351584,1,2,0.00028489774841748206,0.0005697954968349641,0.3113101438436861,4.498771984924623,True,3510.03125,8.258608341217041
