strategy,verdict,holdout_balance,holdout_sharpe,holdout_dd_pct,fills_per_day,round_trips_per_day,active_days_pct,fee_stress_balance,eth_balance,funded_balance,program_trials_approx,trial_sharpe_sd,program_dsr,failed_checks,beta_spot_beats_buy_and_hold_pct,beta_perp_beats_buy_and_hold_pct,beta_spot_beats_kelly_regime_v4_pct,beta_perp_beats_kelly_regime_v4_pct
cautious_optimism,RESEARCH ONLY,3751.4075768644248,1.0200991176642975,53.73050182652654,0.0007581321519107,0.0,0.0757575757575757,3740.247990411631,1556.5191469672914,3042.1804985148333,1479,0.41853836685330587,0.22853264083113456,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4,25.0,45.83333333333333,79.16666666666666,62.5
squint_council,RESEARCH ONLY,3724.677993656759,1.017561367895406,53.65938457287422,0.0007581321519107,0.0,0.0757575757575757,3713.626821201645,1553.241484138423,2212.180178760033,1479,0.41853836685330587,0.2271936934840395,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4,25.0,45.83333333333333,79.16666666666666,54.166666666666664
normalhedge_council,RESEARCH ONLY,3711.3481745367535,1.0162869366742762,53.623466694525426,0.0007581321519107,0.0,0.0757575757575757,3700.3510672336433,1570.7515157979967,2891.133740564892,1479,0.41853836685330587,0.22652255273229194,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4,25.0,45.83333333333333,79.16666666666666,62.5
swap_regret_council,RESEARCH ONLY,3838.539902999039,1.0282111000719998,53.95425142411795,0.0007581321519107,0.0,0.0757575757575757,3827.0269117164753,1570.7429478850895,3071.966317964368,1479,0.41853836685330587,0.23283479581687194,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4,25.0,45.83333333333333,79.16666666666666,62.5
blackwell_council,RESEARCH ONLY,2430.882006608297,1.093958535193277,34.20419897373449,0.1061385012675022,0.0136463787343931,7.727272727272728,2175.4847769316207,1443.7781106587668,2119.3758802765656,1479,0.41853836685330587,0.2610597371610588,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4;beta_spot_vs_kelly_regime_v4;beta_perp_vs_kelly_regime_v4,29.166666666666668,45.83333333333333,20.833333333333336,25.0
minimax_council,RESEARCH ONLY,760.670023956606,-0.1806219398429107,57.81484887840047,0.8839820891279111,0.3525314506384894,43.40909090909091,48.44302669299913,418.392319889195,802.1762388645742,1479,0.41853836685330587,0.001421861787512635,positive_holdout;cadence_2_to_6_fills;lower_drawdown;growth_interval;program_dsr;cost_stress;eth;funded;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4;beta_spot_vs_kelly_regime_v4;beta_perp_vs_kelly_regime_v4,20.833333333333336,45.83333333333333,0.0,12.5
nash_council,RESEARCH ONLY,874.7992106532729,0.0334767223508951,62.56476639462547,2.36840484256912,0.1872586415219503,85.75757575757575,55.42643259020326,570.3026729944472,1430.333381476261,1479,0.41853836685330587,0.004533563164319188,positive_holdout;lower_drawdown;growth_interval;program_dsr;cost_stress;eth;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4;beta_spot_vs_kelly_regime_v4;beta_perp_vs_kelly_regime_v4,20.833333333333336,45.83333333333333,4.166666666666666,12.5
qre_council,RESEARCH ONLY,1289.1668951114762,0.4109713658012554,41.31259779876254,3.0416261934658486,0.0,97.72727272727272,306.1959343892902,860.8195730800456,1579.8796183348531,1479,0.41853836685330587,0.02602650438031051,growth_interval;program_dsr;cost_stress;eth;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4;beta_spot_vs_kelly_regime_v4;beta_perp_vs_kelly_regime_v4,20.833333333333336,45.83333333333333,8.333333333333332,25.0
sleeping_council,RESEARCH ONLY,3769.577594348601,1.0218108156778891,53.77816688053425,0.0007581321519107,0.0,0.0757575757575757,3758.3443111150505,1567.0048890147873,2317.167013932537,1479,0.41853836685330587,0.2294376344679867,cadence_2_to_6_fills;growth_interval;program_dsr;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4,25.0,45.83333333333333,79.16666666666666,54.166666666666664
defensive_forecast,RESEARCH ONLY,1060.5407613426366,0.4459562948677398,4.582794457469093,0.5837617569712621,0.1645146769646284,26.96969696969697,859.8711934191675,1030.5213987699208,1118.9562097831065,1479,0.41853836685330587,0.05206475186812498,cadence_2_to_6_fills;growth_interval;program_dsr;cost_stress;holdout_vs_buy_and_hold;validation_vs_buy_and_hold;beta_spot_vs_buy_and_hold;beta_perp_vs_buy_and_hold;holdout_vs_kelly_regime_v4;validation_vs_kelly_regime_v4;beta_spot_vs_kelly_regime_v4;beta_perp_vs_kelly_regime_v4,25.0,45.83333333333333,25.0,33.33333333333333
