strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,start,end,days,fee_rate,slippage_bps,funding_paid,funding_model,fills,fills_per_day,signal_history
swap_regret_council,spot,1000.0,3838.924069315498,2838.924069315498,283.8924069315498,1,0.0,2838.9240693154975,2838.9240693154975,2838.9240693154975,53.95425220715536,1.028270194417494,99.99973675966947,0.9989984308342936,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
swap_regret_council,futures_5x,1000.0,3835.160169779367,2835.160169779367,283.5160169779367,1,0.0,2835.160169779367,2835.160169779367,2835.160169779367,53.9400445706384,1.0280437490434136,99.99973675966947,0.49874921659519916,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
cautious_optimism,spot,1000.0,3751.779950743249,2751.779950743249,275.1779950743249,1,0.0,2751.779950743249,2751.779950743249,2751.779950743249,53.73052490756752,1.0201577630096788,99.99973675966947,0.9683329971754411,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
cautious_optimism,futures_5x,1000.0,3748.1315885372696,2748.1315885372696,274.8131588537269,1,0.0,2748.1315885372696,2748.1315885372696,2748.1315885372696,53.716099979264776,1.0199297860069214,99.99973675966947,0.4834395218631144,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
normalhedge_council,spot,1000.0,3711.715126799691,2711.715126799691,271.1715126799691,1,0.0,2711.715126799691,2711.715126799691,2711.715126799691,53.62350037659489,1.0163453730647285,99.99973675966947,0.9542344530530839,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
normalhedge_council,futures_5x,1000.0,3708.1198832994523,2708.1198832994523,270.8119883299452,1,0.0,2708.1198832994523,2708.1198832994523,2708.1198832994523,53.60897231667345,1.0161167165336193,99.99973675966947,0.4764008342945201,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
squint_council,spot,1000.0,3725.0467499695555,2725.0467499695555,272.50467499695554,1,0.0,2725.0467499695555,2725.0467499695555,2725.0467499695555,53.65941470228466,1.0176198739998257,99.99973675966947,0.9589257622610754,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
squint_council,futures_5x,1000.0,3721.433831149709,2721.433831149709,272.1433831149709,1,0.0,2721.433831149709,2721.433831149709,2721.433831149709,53.64492119158841,1.0173914417724068,99.99973675966947,0.47874296689460594,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
blackwell_council,spot,1000.0,2440.0490316803252,1440.0490316803252,144.0049031680325,18,50.0,975.7156495197002,-473.0301033654196,80.0027239822403,34.129603773239644,1.0980344489247322,57.37796836377708,88.96409579523899,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,140,0.1061385012675022,all prior causal Bitstamp data
blackwell_council,futures_5x,1000.0,2531.8710793113128,1531.8710793113128,153.1871079311313,18,44.44444444444444,1081.9914079819882,-495.4577204148075,85.10394885062853,35.416336291982816,1.1097586454458994,57.37796836377708,44.72742080322155,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,85,0.06444123291241205,all prior causal Bitstamp data
minimax_council,spot,1000.0,833.8452241198485,-166.15477588015153,-16.61547758801515,465,29.247311827956988,195.4124934105337,-81.03938030218713,-0.3573220986669945,55.16692503263395,-0.07840467113829641,29.996762143934546,1131.4612441649185,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1166,0.8839820891279111,all prior causal Bitstamp data
minimax_council,futures_5x,1000.0,1345.30301386671,345.30301386671,34.53030138667099,465,32.043010752688176,233.36566365540267,-76.0116248466158,0.7425871265950691,39.32422358613537,0.4557020521884446,29.996762143934546,710.0456256864788,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1079,0.8180245919116776,all prior causal Bitstamp data
nash_council,spot,1000.0,959.9475547791272,-40.052445220872755,-4.0052445220872706,248,16.59919028340081,471.0591108858557,-112.77435571602545,-0.1615017952454409,60.09321149300501,0.11705070940568899,85.481506050579,1391.5118799102092,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,3125,2.369162974721031,all prior causal Bitstamp data
nash_council,futures_5x,1000.0,1796.0112803995594,796.0112803995594,79.60112803995594,248,21.45748987854251,837.6490671596363,-117.9965814894458,3.209722904836902,42.61379811861799,0.684030841243999,85.481506050579,800.0672346330607,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1783,1.3517496268568314,all prior causal Bitstamp data
sleeping_council,spot,1000.0,3769.952427346876,2769.952427346876,276.9952427346876,1,0.0,2769.952427346876,2769.952427346876,2769.952427346876,53.778185227031386,1.0218695552629773,99.99973675966947,0.9747277703952029,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
sleeping_council,futures_5x,1000.0,3766.2799717257194,2766.2799717257194,276.62799717257195,1,0.0,2766.2799717257194,2766.2799717257194,2766.2799717257194,53.76380639505231,1.0216418917499275,99.99973675966947,0.4866321075921997,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,1,0.00075813215191073,all prior causal Bitstamp data
defensive_forecast,spot,1000.0,1068.0024861489449,68.00248614894485,6.800248614894477,217,43.77880184331797,39.56962027073523,-10.415743129962124,0.3133755122071218,4.393749067456279,0.4969168425528293,13.835911772370821,75.05838983532064,False,real,legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.001,0.0,0.0,not charged,770,0.5837617569712621,all prior causal Bitstamp data
defensive_forecast,futures_5x,1000.0,1106.1068704838333,106.10687048383329,10.610687048383326,217,52.995391705069125,52.60055513526025,-9.792519722598032,0.48897175338172555,2.940641215263897,0.8353327428301826,13.835911772370821,24.30457863040159,False,spot (perp proxy),legacy_holdout,2023-01-01 00:00:00+00:00,2026-08-12 00:40:00+00:00,1319.03125,0.0005,0.0,0.0,not charged,442,0.33509441114454264,all prior causal Bitstamp data
