strategy,cell,control,reference,risk_valid,control_to_candidate_vol,days,sharpe,control_sharpe,d_sharpe,d_sharpe_lo,d_sharpe_hi,growth,control_growth,d_growth,d_growth_lo,d_growth_hi,drawdown,control_drawdown,d_drawdown,d_drawdown_lo,d_drawdown_hi
r190_v4_b05,inner_val,parent,kelly_regime_v4,False,1.0556890618552512,730,-0.020937387576612995,-0.07684920643700077,0.05591181886038778,-0.217284460229052,0.2873430426670565,-0.09556225150994935,-0.1406099099053084,0.04504765839535904,-0.10534773376055975,0.19920891358864964,39.6505618190086,42.52425212494285,-2.8736903059342467,-8.230696398164154,4.962878570490622
r190_v4_b05,inner_val,matched_hold,match_r190_v4_b05_inner_val_i1,True,1.002674601786101,730,-0.020937387576612995,0.00617144327564616,-0.027108830852259156,-0.9126320109315454,0.6870009425124332,-0.09556225150994935,-0.08076653440479953,-0.01479571710514982,-0.4858637635351919,0.45072388737547625,39.6505618190086,40.57241506882909,-0.9218532498204866,-20.65294583384503,19.353284081835625
r190_v4_b10,inner_val,parent,kelly_regime_v4,True,1.038098438744165,730,-0.03354442234587548,-0.07684920643700077,0.043304784091125294,-0.2154775452031267,0.2621640849926828,-0.10611120576272731,-0.1406099099053084,0.03449870414258108,-0.10796964224011106,0.18228337983625165,40.499826140858666,42.52425212494285,-2.024425984084182,-7.599182054050443,5.077375222440744
r190_v4_b10,inner_val,matched_hold,match_r190_v4_b10_inner_val_i1,True,1.003723061545494,730,-0.03354442234587548,0.02635279798904239,-0.05989722033491787,-0.9422454729832231,0.6483758109111946,-0.10611120576272731,-0.07180542485666935,-0.03430578090605796,-0.5063439982584804,0.44099734589861295,40.499826140858666,41.01017050384846,-0.510344362989791,-20.36070116636773,19.74878367131926
r190_v4_b20,inner_val,parent,kelly_regime_v4,False,1.0638106778284875,730,0.0639629391536193,-0.07684920643700077,0.14081214559062005,-0.18578930452861891,0.4203419347370593,-0.04552026374868612,-0.1406099099053084,0.09508964615662227,-0.07865118092125667,0.2712783083651847,38.693928160507554,42.52425212494285,-3.830323964435294,-11.546761854812816,3.6202013511493267
r190_v4_b20,inner_val,matched_hold,match_r190_v4_b20_inner_val_i1,True,1.000442005999692,730,0.0639629391536193,0.03638125348279753,0.02758168567082176,-0.9078363021189793,0.7603039540182659,-0.04552026374868612,-0.06176394905446331,0.01624368530577719,-0.48142266900060693,0.48692682209649363,38.693928160507554,39.16737681421931,-0.47344865371175615,-21.79361677124492,18.864915389927116
r190_v3_b05,inner_val,parent,kelly_regime_v3,True,1.0428627519179692,730,0.17051881394565122,0.13247136922167382,0.03804744472397739,-0.2621135815746693,0.337577092285727,0.016175060341336256,-0.009906163176325533,0.02608122351766179,-0.14229522365244027,0.2036551548994168,38.01213991657598,39.93843435220621,-1.9262944356302256,-7.861643700404069,6.4168662806243555
r190_v3_b05,inner_val,matched_hold,match_r190_v3_b05_inner_val_i1,True,0.9997189455610044,730,0.17051881394565122,0.03484260345059117,0.13567621049506004,-0.8372351444022357,0.8596740897587708,0.016175060341336256,-0.062024017128879116,0.07819907747021537,-0.4097321091036817,0.5212685759827466,38.01213991657598,39.09433711273431,-1.0821971961583259,-20.4300236139261,17.588597233274132
r190_v3_b10,inner_val,parent,kelly_regime_v3,True,1.0227460560593735,730,0.18429389815254718,0.13247136922167382,0.05182252893087336,-0.24818715183236653,0.3331632736360408,0.02282775786988256,-0.009906163176325533,0.03273392104620809,-0.13234826523658616,0.20816901891228842,38.35488339908653,39.93843435220621,-1.5835509531196763,-7.745460095507483,6.783317535942375
r190_v3_b10,inner_val,matched_hold,match_r190_v3_b10_inner_val_i1,True,1.0026538443047281,730,0.18429389815254718,0.006493329813349478,0.1778005683391977,-0.7745645151346717,0.8966606088349736,0.02282775786988256,-0.08194781243785604,0.1047755703077386,-0.38893634259150495,0.5604748142606757,38.35488339908653,40.83285869006677,-2.4779752909802397,-22.005114304650576,16.71442207771884
r190_v3_b20,inner_val,parent,kelly_regime_v3,True,1.0417102060843464,730,0.16075544012066204,0.13247136922167382,0.02828407089898821,-0.33219192820092386,0.34590843069159016,0.010404991410597086,-0.009906163176325533,0.02031115458692262,-0.16134609917325873,0.20321477472214308,38.43615960836287,39.93843435220621,-1.502274743843337,-8.406084532890569,6.977432848200193
r190_v3_b20,inner_val,matched_hold,match_r190_v3_b20_inner_val_i1,True,0.9996270237521397,730,0.16075544012066204,0.034828559334192724,0.1259268807864693,-0.8821945811657813,0.8682947061037284,0.010404991410597086,-0.062178979768224896,0.07258397117882198,-0.43609317938391523,0.5265039890181306,38.43615960836287,39.12916366163659,-0.6930040532737181,-20.586936732943574,18.646919970385433
