strategy,reference,verdict,point_and_risk,intervals,falsification,cadence,dsr,beta,plateau,failed_gates,dsr_spot,dsr_perp,local_dsr_spot,local_dsr_perp,program_trials_approx,beta_spot_valid,beta_spot_wins,beta_spot_raw_wins,beta_perp_valid,beta_perp_wins,beta_perp_raw_wins
r190_v4_b05,kelly_regime_v4,NEGATIVE,False,False,False,False,False,False,False,"point_and_risk, intervals, falsification, cadence, dsr, beta, plateau",0.13350939949630547,0.20453226416532322,0.6434927664395161,0.7457285799216009,2290,24,14,14,21,11,14
r190_v4_b10,kelly_regime_v4,NEGATIVE,False,False,False,False,False,False,False,"point_and_risk, intervals, falsification, cadence, dsr, beta, plateau",0.13669229941174504,0.20453226416532322,0.6490613496491013,0.7457285799216009,2290,24,15,15,21,11,14
r190_v4_b20,kelly_regime_v4,NEGATIVE,False,False,True,False,False,False,False,"point_and_risk, intervals, cadence, dsr, beta, plateau",0.1467931681809721,0.20453226416532322,0.6659186778785369,0.7457285799216009,2290,24,16,16,21,11,14
r190_v3_b05,kelly_regime_v3,NEGATIVE,False,False,False,False,False,False,False,"point_and_risk, intervals, falsification, cadence, dsr, beta, plateau",0.10920467400524281,0.1626801798350513,0.5967655595955941,0.6907980965044178,2290,24,12,12,24,13,13
r190_v3_b10,kelly_regime_v3,NEGATIVE,False,False,False,False,False,False,False,"point_and_risk, intervals, falsification, cadence, dsr, beta, plateau",0.112101504167473,0.1626801798350513,0.6028204179445404,0.6907980965044178,2290,24,12,12,24,13,13
r190_v3_b20,kelly_regime_v3,NEGATIVE,False,False,False,False,False,True,False,"point_and_risk, intervals, falsification, cadence, dsr, plateau",0.11826630140015737,0.1626801798350513,0.6152161490444835,0.6907980965044178,2290,24,13,13,24,13,13
r190_base_b05,kelly_regime,NEGATIVE,False,False,False,False,False,True,False,"point_and_risk, intervals, falsification, cadence, dsr, plateau",0.09581725864661556,0.15670211045088012,0.5665132079000996,0.6804170140816198,2290,23,13,14,21,14,15
r190_base_b10,kelly_regime,NEGATIVE,False,False,False,False,False,True,False,"point_and_risk, intervals, falsification, cadence, dsr, plateau",0.10338874477243865,0.15670211045088012,0.5838179482499919,0.6804170140816198,2290,23,16,17,21,14,15
r190_base_b20,kelly_regime,NEGATIVE,False,False,True,False,False,True,False,"point_and_risk, intervals, cadence, dsr, plateau",0.12109053652412383,0.15670211045088012,0.6202843463289465,0.6804170140816198,2290,23,18,19,21,14,15
r190_blend_b10,kelly_regime_v4,NEGATIVE,False,False,False,False,False,False,False,"point_and_risk, intervals, falsification, cadence, dsr, beta, plateau",0.11735888122630367,0.1790111340156031,0.6135460845441276,0.7109357061505102,2290,23,9,10,16,6,10
