strategy,market,start_balance,final_balance,profit,profit_pct,num_trades,win_rate_pct,best_trade,worst_trade,avg_trade,max_drawdown_pct,sharpe,time_in_market_pct,fees_paid,liquidated,data,cell,asset,start,end,days,fee_rate,slippage_bps,min_notional,funding_paid,funding_model,fills,fills_per_day,completed_round_trips,round_trips_per_day,active_days_pct,daily_sharpe,annualized_volatility,mean_abs_exposure,decision_requests
buy_and_hold,futures_5x,1000.0,0.0,-1000.0,-100.0,1,0.0,-2.49274925,-2.49274925,-2.49274925,100.0,0.7822857386747969,99.99952435312025,2.49274925,True,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,1004.0463577775469,Deribit 8h aggregation,1,0.0013698630136986301,0,0.0,0.136986301369863,0.6522253063696413,1.2304849637243696,0.35390819593393275,1
buy_and_hold,spot,1000.0,29913.092924564906,28913.092924564906,2891.3092924564908,1,0.0,28913.092924564906,28913.092924564906,28913.092924564906,84.06740989153772,1.3783531330281376,99.9997623393414,3.9839983600000006,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,1,0.0006844626967830253,0,0.0,0.06844626967830253,1.4518554423061545,0.8155680854732208,0.9999940278219182,1
buy_and_hold,spot,1000.0,572.8524387265941,-427.1475612734059,-42.71475612734059,1,0.0,-427.14756127340587,-427.14756127340587,-427.14756127340587,77.33087937280044,0.07484075499599882,99.99952435312025,3.9839983599999997,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,1,0.0013698630136986301,0,0.0,0.136986301369863,-0.00549347708626999,0.7405011268328766,0.9999804783574548,1
kelly_regime,futures_5x,1000.0,969.4758852583411,-30.524114741658877,-3.0524114741658837,38,10.526315789473685,289.46608640898444,-62.66645244976183,2.7956394363125225,41.04702233166941,0.11818142031184767,54.414954337899545,26.998683801949706,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,136.75841332153473,Deribit 8h aggregation,133,0.1821917808219178,38,0.052054794520547946,12.602739726027398,0.10518287196320017,0.3084210025750174,0.309127005083536,237
kelly_regime,spot,1000.0,10356.052906526562,9356.052906526562,935.6052906526562,56,10.909090909090908,5964.456843656047,-275.37575549132816,167.07237333083145,50.53121528483266,1.72331501024247,67.356357897939,1183.8280939274396,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,444,0.30390143737166325,55,0.03764544832306639,20.739219712525667,1.7865648680457415,0.36402996346590083,0.4072904036611275,538
kelly_regime,spot,1000.0,882.6946829829556,-117.30531701704444,-11.73053170170445,39,7.6923076923076925,271.5708557860513,-94.65293705030419,-3.007828641462685,46.63261905644878,-0.020735355875492887,54.19996194824962,258.64317946330715,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,218,0.29863013698630136,39,0.05342465753424658,20.273972602739725,-0.026336124733741584,0.3269764238272831,0.3186090544754283,235
kelly_regime_v3,futures_5x,1000.0,963.7983518076819,-36.20164819231809,-3.620164819231808,38,13.157894736842104,324.63219209968486,-57.255387385533965,2.2087910433408493,36.297486027435276,0.09167149868441851,54.414954337899545,22.40795938559483,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,120.13570783927337,Deribit 8h aggregation,117,0.16027397260273973,38,0.052054794520547946,11.095890410958905,0.07741410817195953,0.28514176321836343,0.25893255959233163,197
kelly_regime_v3,spot,1000.0,14760.310303282744,13760.310303282744,1376.0310303282743,60,10.169491525423728,8751.390430689184,-237.0180544098888,229.33850505471244,52.18429030059038,1.8669078506132726,67.74659669936878,1265.2911076475011,False,Bitstamp BTC spot,inner_train,spot,2017-01-01 00:00:00+00:00,2020-12-31 23:55:00+00:00,1461.0,0.004,1.0,10.0,0.0,not charged,375,0.25667351129363447,59,0.040383299110198494,16.56399726214921,1.9441751490478534,0.38377391455562115,0.4009577634019598,421
kelly_regime_v3,spot,1000.0,990.1427412398467,-9.857258760153286,-0.9857258760153309,39,12.820512820512821,343.85374837029997,-77.38248723184844,-0.2527502246192854,40.54063410074295,0.13600593873763453,54.19996194824962,238.14975171625062,False,Bitstamp BTC spot,inner_val,spot,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.004,1.0,10.0,0.0,not charged,191,0.26164383561643834,39,0.05342465753424658,16.84931506849315,0.13247136922167055,0.298925633550567,0.27963885966196284,199
kelly_regime_v4,futures_5x,1000.0,982.5557470956732,-17.444252904326845,-1.744425290432683,51,9.803921568627452,380.5219472981359,-46.572760767125516,2.2274315281796793,34.56459861016222,0.1291625156202511,56.106830289193304,26.49788842528329,False,Deribit perp + Deribit 8h funding,funded_val,perp,2021-01-01 00:00:00+00:00,2022-12-31 23:55:00+00:00,730.0,0.0005,1.0,5.0,131.04326084148713,Deribit 8h aggregation,146,0.2,51,0.06986301369863014,14.794520547945206,0.11720806225775743,0.2951159078423813,0.2897577350118739,265
