strategy,cell,days,daily_logdiff_sd,block_mean_se,daily_mean_hurdle,required_days_approx,required_years_approx
r190_v4_b05,inner_val,730,0.0032088566732250347,0.00010569043017750233,0.00015872831323833017,2537.4731272736694,6.947222798832771
r190_v4_b10,inner_val,730,0.003187164377855353,0.00010202156151199714,0.00016141797139696462,2286.225611032252,6.25934458872622
r190_v4_b20,inner_val,730,0.003885828838893585,0.000123731847932717,0.0001575165088909319,3531.4231978995417,9.668509782065822
r190_v3_b05,inner_val,730,0.0031923979381628443,0.00011912821382011064,0.0001569552234184612,3296.9824558221703,9.026646011833458
r190_v3_b10,inner_val,730,0.00308715239209767,0.00011855046346920603,0.00016004242231228304,3140.329385977615,8.597753281252881
r190_v3_b20,inner_val,730,0.003914092396764935,0.00012689418563031533,0.0001571288783253247,3732.5905145028946,10.219275878173566
r190_base_b05,inner_val,730,0.003407609341547774,0.0001323743984161897,0.00017367152105206095,3324.9851177751198,9.103313121903135
r190_base_b10,inner_val,730,0.0035232782486920616,0.00013308681087544573,0.0001702715794673425,3496.428327279343,9.572699047992726
r190_base_b20,inner_val,730,0.004240060637090615,0.00013791722759832334,0.00017367499344859546,3609.120457923696,9.881233286580962
r190_blend_b10,inner_val,730,0.004496471874399222,0.0001905204608379443,0.00015948463066106774,8167.412595102071,22.361157002332842
r190_v4_b05,funded_val,730,0.003270443638685341,0.00010828879359353663,0.0001550140790622659,2792.9532393607105,7.646689224806874
r190_v4_b10,funded_val,730,0.003270443638685341,0.00010828879359353663,0.0001550140790622659,2792.9532393607105,7.646689224806874
r190_v4_b20,funded_val,730,0.0041328942417061185,0.00012677679458978331,0.00015013814801329508,4080.715783217496,11.17239091914441
r190_v3_b05,funded_val,730,0.00347644672618543,0.0001332257980629894,0.00015113976452207835,4446.90755603171,12.174969352585105
r190_v3_b10,funded_val,730,0.00347644672618543,0.0001332257980629894,0.00015113976452207835,4446.90755603171,12.174969352585105
r190_v3_b20,funded_val,730,0.004449718350076747,0.00014320527456059852,0.0001447082414768202,5604.932922511079,15.345470013719586
r190_base_b05,funded_val,730,0.004043124122932012,0.00015385199898212626,0.00017305702259259534,4523.418339910226,12.384444462450995
r190_base_b10,funded_val,730,0.004043124122932012,0.00015385199898212626,0.00017305702259259534,4523.418339910226,12.384444462450995
r190_base_b20,funded_val,730,0.004136884662695071,0.0001594383513114827,0.00017285576219073332,4869.190764728858,13.331117767909262
r190_blend_b10,funded_val,730,0.004447356996403896,0.00017117429828484448,0.00015823631547945354,6697.361040611974,18.336375196747362
