arm,seed,window,universe,bench,fee,p_buffer,p_hold_days_param,p_k,mean_notional,cand_final,bench_final,cand_dd,bench_dd,growth_diff,growth_lo,growth_hi,dd_diff,dd_lo,dd_hi,n_days,scramble_p90,scramble_survived,n_better
rank_buffer_scrambled,0,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,223.27362737532303,2175.81459361296,98.04723707754417,86.95531564737286,-2.2690057686359464,-5.13982558242565,0.5214977398292132,11.091921430171311,-13.788795933530974,27.58020819704906,2332,,,
rank_buffer_scrambled,1,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,171.91050236311617,2175.81459361296,93.69533019331718,86.95531564737286,-2.5304298102066087,-5.411321985262543,0.6151639207931717,6.7400145459443195,-9.69335467442254,27.26731152336902,2332,,,
rank_buffer_scrambled,2,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,35.97091391571849,2175.81459361296,98.09013521137575,86.95531564737286,-4.0946931513950195,-6.9861581560226735,-1.500517114351655,11.134819564002896,-0.6915125765375043,31.180615112379073,2332,,,
rank_buffer_scrambled,3,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,80.66799400600955,2175.81459361296,95.02934011372058,86.95531564737286,-3.287061924527463,-6.289128315787283,-0.5756053905481142,8.074024466347723,-7.406435266168019,29.11420432141795,2332,,,
rank_buffer_scrambled,4,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,65.49967464098906,2175.81459361296,96.3930835700833,86.95531564737286,-3.495358641184894,-6.444318148679385,-0.6587855227136495,9.43776792271045,-5.241663494999108,30.134535016474306,2332,,,
rank_buffer_scrambled,5,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,69.23075291018907,2175.81459361296,97.33546613848091,86.95531564737286,-3.4399586463795835,-6.404054571206408,-0.7814979428828132,10.380150491108054,-6.126162769570528,29.559648907640018,2332,,,
rank_buffer_scrambled,6,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,25.515634209577666,2175.81459361296,97.86840605613507,86.95531564737286,-4.438112445951143,-7.528006722822077,-1.5756109448474849,10.913090408762216,0.3543575361522221,33.24376252267982,2332,,,
rank_buffer_scrambled,7,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,121.891599009543,2175.81459361296,90.92866358944288,86.95531564737286,-2.8742716994551945,-5.879006133673688,0.04230806569421712,3.9733479420700206,-8.118421825647092,28.397971195582073,2332,,,
rank_buffer_scrambled,8,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,331.76740080605356,2175.81459361296,93.39367296403739,86.95531564737286,-1.8729696931007473,-4.74739018211948,0.9123466169653129,6.438357316664536,-14.315222392018958,24.63549839917581,2332,,,
rank_buffer_scrambled,9,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,160.78112154324722,2175.81459361296,94.98257548326193,86.95531564737286,-2.5973598699860783,-5.0853470048338,-0.19718817614529946,8.027259835889069,-10.519281771286403,25.602956556949657,2332,,,
rank_buffer,-1,W_FULL6,U6,VOLMATCH_HOLD,0.001,0.05,1,1,0.5248922928116057,,,,,-0.5667003664474244,,,,,,,-2.229402161082427,True,0
