hold_days,hold_bars,n_samples,ic_mean,ic_se,ic_t,top1_spread_per_day,top1_spread_se_per_day,p_leader_unchanged,leader_changes_per_day,cost_per_day_ub,net_per_day_ub
0.003472222222222222,1,2332,-0.02707669688801764,0.008377214354852357,-3.232183843109366,0.015503735221894065,0.024028924588142944,0.9824185248713551,5.063464837049743,0.010126929674099486,0.005376805547794579
0.25,72,2332,-0.034172588417871436,0.008751323056768066,-3.904848237940795,-0.0016127813415956471,0.0018218359201743238,0.8962264150943396,0.4150943396226414,0.0008301886792452829,-0.00244297002084093
1.0,288,2332,-0.03504043126684636,0.00870623263882292,-4.024752464182237,-0.0002697876688708619,0.0008039453273498625,0.8173241852487135,0.18267581475128647,0.00036535162950257293,-0.0006351392983734349
2.0,576,2331,-0.028998386141243282,0.008754589779416433,-3.312363785385301,1.2867895588840863e-05,0.0005828151554293964,0.7425997425997426,0.1287001287001287,0.00025740025740025744,-0.0002445323618114166
3.0,864,2330,-0.026844471694257105,0.008851247612182709,-3.032846087969432,-6.0522955554511976e-05,0.00048525960663762456,0.6781115879828327,0.10729613733905578,0.00021459227467811155,-0.00027511523023262353
5.0,1440,2328,-0.013827524136802487,0.008925003003254573,-1.549301902952881,2.0469009994590123e-05,0.00037984751689908234,0.5966494845360825,0.08067010309278351,0.00016134020618556702,-0.0001408711961909769
7.0,2016,2326,-0.00905908365065717,0.008947894791504677,-1.0124262591082382,0.0001520177996567935,0.0003136744612460777,0.528804815133276,0.06731359783810342,0.00013462719567620686,1.739060398058665e-05
10.0,2880,2323,-0.002388127011458909,0.00906958817386234,-0.26331151598936503,0.0001433981278659231,0.00025096227653129913,0.43951786482996125,0.05604821351700388,0.00011209642703400774,3.130170083191536e-05
14.0,4032,2319,0.01054436436066449,0.009007914942832486,1.1705665992166747,6.307148493626399e-07,0.00020318095520131007,0.3613626563173782,0.04561695312018727,9.123390624037454e-05,-9.06031913910119e-05
21.0,6048,2312,0.023026857801944314,0.00889739279664793,2.588045546400921,-9.886533281242333e-05,0.00016605351349583046,0.27076124567474047,0.0347256549678695,6.9451309935739e-05,-0.00016831664274816232
30.0,8640,2303,0.03417902115253397,0.009062585083375796,3.771442787911719,-3.509195661391464e-05,0.00014141355801449654,0.2214502822405558,0.02595165725864814,5.190331451729628e-05,-8.699527113121092e-05
45.0,12960,2288,0.03361222111222111,0.008908795172115819,3.7729255710610623,-0.00014395606216096826,0.00010480513617860154,0.1875,0.018055555555555554,3.6111111111111116e-05,-0.00018006717327207937
60.0,17280,2273,0.039867596840760064,0.00873645321556334,4.563361796494132,-0.00020786573623944246,8.319135794012594e-05,0.15090189177298724,0.01415163513711688,2.830327027423376e-05,-0.00023616900651367623
90.0,25920,2243,0.06521877587414814,0.009174986341799318,7.108324028453867,-0.00011663717606702525,6.108102446163243e-05,0.13508693713776193,0.009610145142913758,1.9220290285827513e-05,-0.00013585746635285276
