check,subarm,universe,window,n_bars,max_abs_diff,bit_identical,allclose_1e12,passed,d,n_eq_plus_d,n_eq_minus_d,n_finite_scores,field,r67_published,this_branch,abs_diff,delta_in,delta_out,first,last,bars_in_holdout,first_bar_warm
identity_d0,EXIT_ONLY,U8,"('2020-04-01', '2021-12-31')",210528.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
identity_d0,ENTRY_ONLY,U8,"('2020-04-01', '2021-12-31')",210528.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
identity_d0,COUPLED,U8,"('2020-04-01', '2021-12-31')",210528.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
identity_d0,EXIT_ONLY,U6,"('2020-04-01', None)",697459.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
identity_d0,ENTRY_ONLY,U6,"('2020-04-01', None)",697459.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
identity_d0,COUPLED,U6,"('2020-04-01', None)",697459.0,0.0,True,True,True,nan,nan,nan,nan,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.0,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.005,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.01,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.02,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.04,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.08,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.12,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.16,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
boundary_ties,nan,U8,"('2020-04-01', '2021-12-31')",nan,nan,nan,nan,True,0.22,0.0,0.0,1499912.0,nan,nan,nan,nan,,,,,,
