arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_subarm,p_d,p_delta_in,p_delta_out,p_buffer,p_hold_days,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,volmatch_shared_flag_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,volmatch_shared_flag_gross,cand_vol_gross,cand_final_gross,bench_final_gross,n_bars,tenure_days,membership_change_rate,membership_change_rate_thresholded,raw_turnover_per_day,membership_changes_per_day,span_days,config_kind,eval_bars,eval_days,forced_exit_total_warm,forced_exit_total_eval,forced_exit_per_day_r65,forced_exit_per_day_eval,entry_total_warm,entry_total_eval,entry_per_day_r65,entry_per_day_eval,swap_total_warm,swap_total_eval,swap_per_day_r65,swap_per_day_eval,blocked_by_timer_total_warm,blocked_by_timer_total_eval,blocked_by_timer_per_day_r65,blocked_by_timer_per_day_eval,blocked_by_buffer_total_warm,blocked_by_buffer_total_eval,blocked_by_buffer_per_day_r65,blocked_by_buffer_per_day_eval,flat_bars_total_warm,flat_bars_total_eval,flat_bars_per_day_r65,flat_bars_per_day_eval,flat_bar_frac_eval
r63_reference,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,R63_REF,nan,nan,nan,nan,0,1,1.0,0.9450786722179523,True,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,True,0.8989782404585822,961.6841781453267,7856.254171101872,184320,0.2438911421561264,3.821875,3.821875,4.475317689909698,3.82189573511141,639.9965277777778,reference,,,,,,,,,,,,,,,,,,,,,,,,,,,
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,1.1764705882352942,0.6073928250382219,0.89375,0.38873140802446204,0.54675115779283,-1.0261623997228912,-3.157887709707339,1.1996332781973025,-1.4196606648319448,-3.5971658759565632,0.9198484003693361,6.704817715392473,-15.965515644535213,42.149289295822484,1836.1348032726853,7613.986290302997,67.50090329856302,60.796085583170544,639,EXIT_ONLY,0.0,0.0,0.0,0.05,1,1,0.9293813006084777,0.8794352585754299,True,True,0.8820424709858133,0.9239717461231414,0.8749245708449113,True,True,0.8769636059808745,2682.0101052460514,7510.47005653663,184320,1.7072379950928847,0.85,0.85,0.6073961203730757,0.8500046115701582,639.9965277777778,grid,184320,640.0,242,242,0.378125,0.378125,242,242,0.378125,0.378125,75,75,0.1171875,0.1171875,2392,2392,3.7375,3.7375,15265,15265,23.8515625,23.8515625,54664,28456,85.4125,44.4625,0.15438368055555557
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,2.0447284345047922,0.3813443135918587,0.5328125,0.24406036069878959,0.549198448849541,-1.0654581357939417,-3.2224004617220237,1.204464249936355,-1.2916962047539073,-3.4890514835428754,1.049218460878007,5.934292297105927,-17.38548605611016,41.00278212742603,2067.6593612886586,7544.200299181892,66.77081854120684,60.83652624410091,639,EXIT_ONLY,0.005,0.0,0.005,0.05,1,1,0.9301451174587606,0.8804355468798967,True,True,0.8827673821730333,0.926438443347555,0.8772237986822179,True,True,0.879304807107274,2613.3158313348977,7611.47211328355,184320,2.7449144219977555,0.4890625,0.4890625,0.38134638252839564,0.48906515334827116,639.9965277777778,grid,184320,640.0,123,123,0.1921875,0.1921875,123,123,0.1921875,0.1921875,75,75,0.1171875,0.1171875,2393,2393,3.7390625,3.7390625,15329,15329,23.9515625,23.9515625,54002,27794,84.378125,43.428125,0.15079210069444443
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,2.633744855967078,0.3208919414814338,0.425,0.20537084254811763,0.5525184563263975,-1.0961480353698874,-3.256321651810084,1.1976542965259476,-1.2883038617050508,-3.4694855261955713,1.056771409216605,5.526370069575243,-17.83388420044304,40.65003365318434,2101.9671572944662,7643.499672090289,66.48402872132384,60.957658651748595,639,EXIT_ONLY,0.01,0.0,0.01,0.05,1,1,0.9344756745041702,0.8846899640350101,True,True,0.8868773585999071,0.9312649919816627,0.881444537548549,True,True,0.8838857994507835,2556.090483459925,7676.964299208669,184320,3.3533145875937285,0.3796875,0.3796875,0.32089368244108235,0.3796895599476993,639.9965277777778,grid,184320,640.0,86,86,0.134375,0.134375,86,86,0.134375,0.134375,77,77,0.1203125,0.1203125,2445,2445,3.8203125,3.8203125,15554,15554,24.303125,24.303125,53110,26902,82.984375,42.034375,0.14595269097222222
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,3.742690058479532,0.25367347200870966,0.3125,0.1623510220855742,0.5596204551120932,-1.0490618838009906,-3.16550988898365,1.229701529381197,-1.1941929786423078,-3.3549501076469763,1.1133890138508233,3.6340108742537183,-18.509003337999918,39.00317027645226,2310.114194572421,7645.931586188093,64.69445993042376,61.06044905617004,639,EXIT_ONLY,0.02,0.0,0.02,0.05,1,1,0.9364636945194865,0.8866463585688334,True,True,0.8887641171192907,0.933794814347272,0.8837872149882362,True,True,0.8862869141532022,2690.862447212755,7710.095828339619,184320,4.35919728783902,0.2671875,0.2671875,0.25367484828284315,0.26718894959282546,639.9965277777778,grid,184320,640.0,49,49,0.0765625,0.0765625,49,49,0.0765625,0.0765625,78,78,0.121875,0.121875,2461,2461,3.8453125,3.8453125,15810,15810,24.703125,24.703125,51086,24878,79.821875,38.871875,0.13497178819444444
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,5.0,0.2157170013069533,0.25,0.1380588808364501,0.5729407526876394,-0.9680086449171803,-3.0459226490453295,1.2324737454905432,-1.0936461265162274,-3.2114124323669335,1.1186865492574287,-0.7360675266784753,-16.92460356882365,34.95967035339354,2564.1549354884814,7675.072286046,60.67043882931126,61.406506355989734,639,EXIT_ONLY,0.04,0.0,0.04,0.05,1,1,0.9430570847888636,0.8927984021652727,True,True,0.8950216674289081,0.9408874286818637,0.8904802907467472,True,True,0.8930186834619428,2915.5882410990125,7703.806578449173,184320,5.379133597883598,0.2,0.2,0.21571817165293666,0.20000108507533135,639.9965277777778,grid,184320,640.0,25,25,0.0390625,0.0390625,25,25,0.0390625,0.0390625,80,80,0.125,0.125,2746,2746,4.290625,4.290625,16746,16746,26.165625,26.165625,47863,21655,74.7859375,33.8359375,0.11748589409722222
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,5.818181818181818,0.2009079203847044,0.2171875,0.1285810690462108,0.5857295322596509,-1.1360581200010225,-3.1834739897597344,1.0468874552274114,-1.2458956205016816,-3.330935614667619,0.9667579384049899,0.29435258447635704,-15.23857321830523,36.937512326607326,2231.040834392289,7776.386638345537,62.29479592570648,62.000443341230124,639,EXIT_ONLY,0.08,0.0,0.08,0.05,1,1,0.9519071992001031,0.9006555284846713,True,True,0.9034209937104741,0.9497758627429173,0.8989912631039484,True,True,0.9014549080742329,2513.449553687041,7856.827107706833,184320,5.991444730813288,0.171875,0.171875,0.20090901038584566,0.17187593248661287,639.9965277777778,grid,184320,640.0,14,14,0.021875,0.021875,14,14,0.021875,0.021875,83,83,0.1296875,0.1296875,2697,2697,4.2140625,4.2140625,16641,16641,26.0015625,26.0015625,43151,16943,67.4234375,26.4734375,0.09192165798611111
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,6.336633663366337,0.19144027659988677,0.203125,0.12252177702392753,0.5906218276842278,-1.075570851360169,-3.1390185033561866,1.1088407686790527,-1.184957508939314,-3.2800440325737052,1.022827730999879,-0.8897273922097853,-14.81159979540536,35.206511256305824,2388.592001570254,7833.395728314417,61.21632998483811,62.1060573770479,639,EXIT_ONLY,0.12,0.0,0.12,0.05,1,1,0.9542022815050134,0.9031028498201347,True,True,0.9055991740397034,0.9522832206721981,0.900854134167486,True,True,0.90383470124472,2674.711546737187,7870.256509910653,184320,6.393078200483092,0.1578125,0.1578125,0.19144131523549449,0.15781335619225365,639.9965277777778,grid,184320,640.0,9,9,0.0140625,0.0140625,9,9,0.0140625,0.0140625,83,83,0.1296875,0.1296875,2706,2706,4.228125,4.228125,16641,16641,26.0015625,26.0015625,41137,14929,64.2765625,23.3265625,0.08099500868055555
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,6.4646464646464645,0.1917001908939619,0.203125,0.12268812217213562,0.6030161398781864,-1.1602120867587886,-3.1593104518823996,0.9971605880044917,-1.2608935996016082,-3.2744466778219046,0.9290639052132806,-1.2253255575520328,-12.967703500215674,34.45307585219688,2200.5597686966858,7786.064207965443,60.79434227975782,62.019667837309854,639,EXIT_ONLY,0.16,0.0,0.16,0.05,1,1,0.9526685423509627,0.9013383641797785,True,True,0.9041435571982618,0.9508698038272416,0.8998651470048246,True,True,0.9024931936301117,2464.448009874829,7892.024961661572,184320,6.562084842995169,0.1546875,0.1546875,0.19170123093970254,0.15468833923795158,639.9965277777778,grid,184320,640.0,7,7,0.0109375,0.0109375,8,8,0.0125,0.0125,84,84,0.13125,0.13125,2706,2706,4.228125,4.228125,16644,16644,26.00625,26.00625,36659,10451,57.2796875,16.3296875,0.05670030381944444
band_decomposition,W_TRAIN,U8,VOLMATCH_HOLD,6.597938144329897,0.19038533164164342,0.2015625,0.12184661225065178,0.611288706608511,-1.291016264167739,-3.354077506084017,0.9517621232254686,-1.4069850387852494,-3.4905393615959444,0.8378385517185855,3.614689296760581,-12.001142673555028,37.87999946482085,1925.252787647924,7883.643410312626,65.65047298798781,62.03578369122723,639,EXIT_ONLY,0.22,0.0,0.22,0.05,1,1,0.9588585349285293,0.906630788654446,True,True,0.9100182572217356,0.957062717679395,0.905204570164126,True,True,0.9083710357677105,2154.575792720274,7864.089862653973,184320,6.734966422466423,0.1515625,0.1515625,0.19038636455377736,0.15156332228364952,639.9965277777778,grid,184320,640.0,6,6,0.009375,0.009375,7,7,0.0109375,0.0109375,84,84,0.13125,0.13125,2706,2706,4.228125,4.228125,16644,16644,26.00625,26.00625,34018,7810,53.153125,12.203125,0.04237196180555555
