arm,window,universe,p_subarm,p_d,p_delta_in,p_delta_out,p_buffer,p_hold_days,p_k,m1_bar,m1_floor,m1_cand_membership_per_day,m1_baseline_membership_per_day,m1_membership_reduction,m1_cand_turnover_per_day,m1_baseline_turnover_per_day,m1_turnover_reduction,m1_membership_passed,m1_turnover_passed,m1_passed,set_period_days,tenure_days,turnover_per_day,mean_notional,membership_change_rate_r67,r65_published_forced_exit_per_day,eval_bars,eval_days,forced_exit_total_warm,forced_exit_total_eval,forced_exit_per_day_r65,forced_exit_per_day_eval,entry_total_warm,entry_total_eval,entry_per_day_r65,entry_per_day_eval,swap_total_warm,swap_total_eval,swap_per_day_r65,swap_per_day_eval,blocked_by_timer_total_warm,blocked_by_timer_total_eval,blocked_by_timer_per_day_r65,blocked_by_timer_per_day_eval,blocked_by_buffer_total_warm,blocked_by_buffer_total_eval,blocked_by_buffer_per_day_r65,blocked_by_buffer_per_day_eval,flat_bars_total_warm,flat_bars_total_eval,flat_bars_per_day_r65,flat_bars_per_day_eval,flat_bar_frac_eval,raw_turnover_per_day,membership_changes_per_day,span_days
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.0,0.0,0.0,0.05,1,1,0.25,0.01,0.85,0.85,0.0,0.6073928250382219,0.6073928250382219,0.0,False,False,False,1.1764705882352942,1.7072379950928847,0.6073928250382219,0.54675115779283,0.85,0.386,184320,640.0,242,242,0.378125,0.378125,242,242,0.378125,0.378125,75,75,0.1171875,0.1171875,2392,2392,3.7375,3.7375,15265,15265,23.8515625,23.8515625,54664,28456,85.4125,44.4625,0.15438368055555557,0.6073961203730757,0.8500046115701582,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.005,0.0,0.005,0.05,1,1,0.25,0.01,0.4890625,0.85,0.4246323529411764,0.3813443135918587,0.6073928250382219,0.37216197183781097,True,True,True,2.0447284345047922,2.7449144219977555,0.3813443135918587,0.549198448849541,0.4890625,0.386,184320,640.0,123,123,0.1921875,0.1921875,123,123,0.1921875,0.1921875,75,75,0.1171875,0.1171875,2393,2393,3.7390625,3.7390625,15329,15329,23.9515625,23.9515625,54002,27794,84.378125,43.428125,0.15079210069444443,0.38134638252839564,0.48906515334827116,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.01,0.0,0.01,0.05,1,1,0.25,0.01,0.3796875,0.85,0.5533088235294117,0.3208919414814338,0.6073928250382219,0.47168960802057425,True,True,True,2.633744855967078,3.3533145875937285,0.3208919414814338,0.5525184563263975,0.3796875,0.386,184320,640.0,86,86,0.134375,0.134375,86,86,0.134375,0.134375,77,77,0.1203125,0.1203125,2445,2445,3.8203125,3.8203125,15554,15554,24.303125,24.303125,53110,26902,82.984375,42.034375,0.14595269097222222,0.32089368244108235,0.3796895599476993,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.02,0.0,0.02,0.05,1,1,0.25,0.01,0.2671875,0.85,0.6856617647058822,0.25367347200870966,0.6073928250382219,0.582356818270373,True,True,True,3.742690058479532,4.35919728783902,0.25367347200870966,0.5596204551120932,0.2671875,0.386,184320,640.0,49,49,0.0765625,0.0765625,49,49,0.0765625,0.0765625,78,78,0.121875,0.121875,2461,2461,3.8453125,3.8453125,15810,15810,24.703125,24.703125,51086,24878,79.821875,38.871875,0.13497178819444444,0.25367484828284315,0.26718894959282546,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.04,0.0,0.04,0.05,1,1,0.25,0.01,0.2,0.85,0.7647058823529411,0.2157170013069533,0.6073928250382219,0.6448476300434094,True,True,True,5.0,5.379133597883598,0.2157170013069533,0.5729407526876394,0.2,0.386,184320,640.0,25,25,0.0390625,0.0390625,25,25,0.0390625,0.0390625,80,80,0.125,0.125,2746,2746,4.290625,4.290625,16746,16746,26.165625,26.165625,47863,21655,74.7859375,33.8359375,0.11748589409722222,0.21571817165293666,0.20000108507533135,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.08,0.0,0.08,0.05,1,1,0.25,0.01,0.171875,0.85,0.7977941176470589,0.2009079203847044,0.6073928250382219,0.669229019338413,True,True,True,5.818181818181818,5.991444730813288,0.2009079203847044,0.5857295322596509,0.171875,0.386,184320,640.0,14,14,0.021875,0.021875,14,14,0.021875,0.021875,83,83,0.1296875,0.1296875,2697,2697,4.2140625,4.2140625,16641,16641,26.0015625,26.0015625,43151,16943,67.4234375,26.4734375,0.09192165798611111,0.20090901038584566,0.17187593248661287,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.12,0.0,0.12,0.05,1,1,0.25,0.01,0.1578125,0.85,0.8143382352941176,0.19144027659988677,0.6073928250382219,0.684816368076393,True,True,True,6.336633663366337,6.393078200483092,0.19144027659988677,0.5906218276842278,0.1578125,0.386,184320,640.0,9,9,0.0140625,0.0140625,9,9,0.0140625,0.0140625,83,83,0.1296875,0.1296875,2706,2706,4.228125,4.228125,16641,16641,26.0015625,26.0015625,41137,14929,64.2765625,23.3265625,0.08099500868055555,0.19144131523549449,0.15781335619225365,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.16,0.0,0.16,0.05,1,1,0.25,0.01,0.1546875,0.85,0.8180147058823529,0.1917001908939619,0.6073928250382219,0.6843884501238575,True,True,True,6.4646464646464645,6.562084842995169,0.1917001908939619,0.6030161398781864,0.1546875,0.386,184320,640.0,7,7,0.0109375,0.0109375,8,8,0.0125,0.0125,84,84,0.13125,0.13125,2706,2706,4.228125,4.228125,16644,16644,26.00625,26.00625,36659,10451,57.2796875,16.3296875,0.05670030381944444,0.19170123093970254,0.15468833923795158,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.22,0.0,0.22,0.05,1,1,0.25,0.01,0.1515625,0.85,0.8216911764705882,0.19038533164164342,0.6073928250382219,0.6865532094000898,True,True,True,6.597938144329897,6.734966422466423,0.19038533164164342,0.611288706608511,0.1515625,0.386,184320,640.0,6,6,0.009375,0.009375,7,7,0.0109375,0.0109375,84,84,0.13125,0.13125,2706,2706,4.228125,4.228125,16644,16644,26.00625,26.00625,34018,7810,53.153125,12.203125,0.04237196180555555,0.19038636455377736,0.15156332228364952,639.9965277777778
band_decomposition,W_TRAIN,U8,EXIT_ONLY,0.28,0.0,0.28,0.05,1,1,0.25,0.01,0.1421875,0.85,0.8327205882352942,0.18849089192704316,0.6073928250382219,0.6896721789310207,True,True,True,7.032967032967033,7.069522471910113,0.18849089192704316,0.6284707997797357,0.1421875,0.386,184320,640.0,2,2,0.003125,0.003125,3,3,0.0046875,0.0046875,86,86,0.134375,0.134375,2706,2706,4.228125,4.228125,16655,16655,26.0234375,26.0234375,29322,3114,45.815625,4.865625,0.01689453125,0.18849191456112818,0.14218827142074336,639.9965277777778
