item,h_star_days,T_star_bars,net_at_h_star_per_day,V_at_h_star_per_day,cost_at_h_star_per_day,V_prime_at_h_star,marginal_cost_at_h_star,marginal_residual,grid_h_lo,grid_h_hi,n_table_rows_used,interior,source,window,universe,n_bars,mult,delta_mean,delta_median,delta_min,delta_max,delta_final,delta_cap_frac,delta_zero_frac,sigma_s_final,delta_over_sigma_mean,r67_fitted_delta,ratio_to_r67_fitted,dlc_static_cap,ratio_to_dlc_static_cap,sigma_ds_final,theta_mean,fee_c,gamma,note,delta_argmax,net_log_units,fee_saving_log_units,total_grace_log_ret,is_grid_edge
D_B_value_side,7.0000660109739306,2016.019011160492,0.0005682549972085991,0.0008539665886228259,0.0002857115914142268,-3.295235460876677e-05,-4.0815556734225034e-05,7.863202125458266e-06,0.25,30.0,10,True,/home/user/tradebot/reports/r65_holding_period/decay_pre_holdout.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
delta_D_A,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_TRAIN,U8,184320,1.0,0.01323743348147034,0.014463658695514671,0.0,0.04532955115380451,0.01588153318233939,0.0,0.11558159722222222,0.23086815599757385,0.06600064481791011,0.08,0.16546791851837925,0.3672,0.036049655450627285,0.005364766194305991,0.6478912058977897,0.001,1.0,,,,,,
delta_D_B,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_TRAIN,U8,184320,1.0,0.19179711580574346,0.19639453153802988,0.0,0.273940774702797,0.2408785404619243,0.0,0.0296875,0.23086815599757385,1.014831842790674,0.08,2.397463947571793,0.3672,0.5223233001245736,0.005364766194305991,0.6478912058977897,0.001,1.0,,,,,,
delta_D_B_prime_DECLARED_VARIANT,,,,,,,,,,,,,,W_TRAIN,U8,,0.5,0.09589855790287173,0.09819726576901494,,,0.12043927023096215,,,,,,,,,,,,,full-width 2*delta traverse; NOT backtested,,,,,
delta_D_A,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_VAL,U8,105120,1.0,0.007065120606218379,0.006992863283901873,0.0,0.01803195549654338,0.0,0.0,0.1511605783866058,0.14657170920213633,0.05462464132931035,0.08,0.08831400757772973,0.3672,0.019240524526738502,0.0028095888894244265,0.7162893772871196,0.001,1.0,,,,,,
delta_D_B,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_VAL,U8,105120,1.0,0.12252044393881224,0.12898328068735793,0.0,0.135737905647183,0.1261508230686546,0.0,0.052054794520547946,0.14657170920213633,0.9534017478301011,0.08,1.531505549235153,0.3672,0.3336613397026477,0.0028095888894244265,0.7162893772871196,0.001,1.0,,,,,,
delta_D_B_prime_DECLARED_VARIANT,,,,,,,,,,,,,,W_VAL,U8,,0.5,0.06126022196940612,0.06449164034367896,,,0.0630754115343273,,,,,,,,,,,,,full-width 2*delta traverse; NOT backtested,,,,,
delta_D_A,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_FULL6,U6,671271,1.0,0.011306830532708442,0.009464649712956139,0.0,0.051913685500649176,0.0,0.0,0.11540942480756654,0.187871417838926,0.05345273451619998,0.08,0.1413353816588555,0.3672,0.030792022147898807,0.004086803968386252,0.722310505554811,0.001,1.0,,,,,,
delta_D_B,7.0000660109739306,2016.019011160492,,,,,,,,,,,,W_FULL6,U6,671271,1.0,0.20752432189330422,0.20034646991081506,0.0,0.30182390842865997,0.18349790827859738,0.0,0.00818149450817926,0.187871417838926,1.010156953526425,0.08,2.5940540236663026,0.3672,0.5651533820623753,0.004086803968386252,0.722310505554811,0.001,1.0,,,,,,
delta_D_B_prime_DECLARED_VARIANT,,,,,,,,,,,,,,W_FULL6,U6,,0.5,0.10376216094665211,0.10017323495540753,,,0.09174895413929869,,,,,,,,,,,,,full-width 2*delta traverse; NOT backtested,,,,,
D_C_grace_curve_DIAGNOSTIC,,,,,,,,,,,,,/home/user/tradebot/reports/r68_band/r68_grace_cost.csv,,,,,,,,,,,,,,,,,,,,,,bounding diagnostic; NOT evaluated as an arm,0.16,1.5705043974786606,1.074,0.4965043974786605,True
