window,delta,fee,risk_matched,growth_diff,growth_lo,growth_hi
2020-04-01..2021-12-31,0.08,0.0,True,-0.875682549492625,-2.9555904447667767,1.2058876111571482
2020-04-01..2021-12-31,0.08,0.0005,True,-0.916533417423598,-3.007850974462869,1.1849689811186865
2020-04-01..2021-12-31,0.08,0.00075,True,-0.9436660265263142,-3.0396320258708975,1.164709292564304
2020-04-01..2021-12-31,0.08,0.001,True,-0.9671502845633149,-3.0729793456346073,1.1467609289199516
2020-04-01..2021-12-31,0.08,0.0015,True,-1.0206710183964978,-3.1572708774582767,1.1000692107805592
2020-04-01..2021-12-31,0.08,0.002,True,-1.063153768614103,-3.20508855722443,1.065062366169846
2020-04-01..2021-12-31,0.08,0.003,True,-1.1593009711121876,-3.34371099936082,1.0113694986075772
2020-04-01..2021-12-31,0.08,0.004,True,-1.2694528002794256,-3.4934810108887118,0.9217786651792689
2020-04-01..2021-12-31,0.08,0.006,True,-1.480558295794625,-3.799779817965608,0.7557142847154354
2020-04-01..2021-12-31,0.08,0.008,True,-1.6922152916640816,-4.107713283975525,0.6181917746291117
2020-04-01..2021-12-31,0.08,0.01,True,-1.913124361096283,-4.401573628195227,0.48687624479721336
2022-01-01..2022-12-31,0.08,0.0,True,0.543611233191285,-0.47655450585664016,1.5759771098209754
2022-01-01..2022-12-31,0.08,0.0005,True,0.531350058936907,-0.4951732716877754,1.56993686578003
2022-01-01..2022-12-31,0.08,0.00075,True,0.5255335824567761,-0.5041982906429956,1.5679667485833364
2022-01-01..2022-12-31,0.08,0.001,True,0.519421585801171,-0.5155969093822909,1.5661183839217128
2022-01-01..2022-12-31,0.08,0.0015,True,0.5071993344043726,-0.5358152424838281,1.5624334594615137
2022-01-01..2022-12-31,0.08,0.002,True,0.4948046440534807,-0.5539125526072007,1.5567310510811085
2022-01-01..2022-12-31,0.08,0.003,True,0.46175977531140455,-0.6084805605912762,1.5458483882749563
2022-01-01..2022-12-31,0.08,0.004,True,0.44029932489887846,-0.6382004989382702,1.534218124521519
2022-01-01..2022-12-31,0.08,0.006,True,0.3883487264769415,-0.7242522356427875,1.5044893028759807
2022-01-01..2022-12-31,0.08,0.008,True,0.3320340573373224,-0.8054512206048324,1.466706802608624
2022-01-01..2022-12-31,0.08,0.01,True,0.2980477641497372,-0.8618416186817381,1.4499500751726426
