window,delta,mean_block_days,autocorr_time_days,risk_matched,growth_diff,growth_lo,growth_hi,growth_width,dd_diff,dd_lo,dd_hi,excludes_zero
W_TRAIN,0.0,5.0,1.0,True,-1.4196606648319448,-3.259898093444751,0.4375118820848164,3.6974099755295673,6.704817715392473,-14.92150712114696,38.2153945591397,False
W_TRAIN,0.0,10.0,1.0,True,-1.4196606648319448,-3.4756987341119636,0.6982523899605674,4.173951124072531,6.704817715392473,-14.997368222416162,38.49445153702284,False
W_TRAIN,0.0,20.0,1.0,True,-1.4196606648319448,-3.5115371619880706,0.6734905778168077,4.1850277398048785,6.704817715392473,-14.854173129803002,40.62367194376574,False
W_TRAIN,0.0,30.0,1.0,True,-1.4196606648319448,-3.5971658759565632,0.9198484003693361,4.5170142763259,6.704817715392473,-15.965515644535213,42.149289295822484,False
W_TRAIN,0.0,60.0,1.0,True,-1.4196606648319448,-3.4307647153823413,0.6806044883560638,4.1113692037384055,6.704817715392473,-14.30283556609424,41.931294621043705,False
W_TRAIN,0.0,90.0,1.0,True,-1.4196606648319448,-3.4989455443611464,0.5173399354569466,4.016285479818093,6.704817715392473,-13.935570376947261,43.53550144399366,False
W_TRAIN,0.0,120.0,1.0,True,-1.4196606648319448,-3.41312837780761,0.44885323036702746,3.8619816081746374,6.704817715392473,-13.712379133071096,42.690772378319856,False
W_TRAIN,0.08,5.0,1.027556272574842,True,-0.9671502845633149,-2.7764654855208053,0.9414083363774091,3.7178738218982144,-4.1971261403180975,-17.361209360737448,30.407547123178244,False
W_TRAIN,0.08,10.0,1.027556272574842,True,-0.9671502845633149,-2.9278103444713266,0.9658864631526113,3.8936968076239378,-4.1971261403180975,-16.241133556268558,29.946773568730002,False
W_TRAIN,0.08,20.0,1.027556272574842,True,-0.9671502845633149,-2.9173057221565784,1.0169227495961883,3.9342284717527667,-4.1971261403180975,-16.15700425591732,29.83274693420893,False
W_TRAIN,0.08,30.0,1.027556272574842,True,-0.9671502845633149,-3.0729793456346073,1.1467609289199516,4.2197402745545585,-4.1971261403180975,-15.767746802330592,31.2712930477952,False
W_TRAIN,0.08,60.0,1.027556272574842,True,-0.9671502845633149,-2.9966546812559933,1.0369999351529877,4.033654616408981,-4.1971261403180975,-15.508734518243875,30.57667226567827,False
W_TRAIN,0.08,90.0,1.027556272574842,True,-0.9671502845633149,-2.9882839996713737,0.8535339148172322,3.841817914488606,-4.1971261403180975,-14.611202659516334,31.051736812106707,False
W_TRAIN,0.08,120.0,1.027556272574842,True,-0.9671502845633149,-2.9358071827158754,0.7824825324849926,3.718289715200868,-4.1971261403180975,-14.013653778532188,31.067221501020082,False
W_VAL,0.0,5.0,1.0,True,0.14251410981774126,-1.0666758804394592,1.3598666312529457,2.426542511692405,-1.8213183038105498,-30.442890880989342,27.567249090163767,False
W_VAL,0.0,10.0,1.0,True,0.14251410981774126,-0.9394621284687532,1.3294017154935103,2.2688638439622633,-1.8213183038105498,-29.46936393877454,24.328152206791056,False
W_VAL,0.0,20.0,1.0,True,0.14251410981774126,-0.9213715147055174,1.239691788559404,2.1610633032649216,-1.8213183038105498,-28.774098731652803,26.157152122470418,False
W_VAL,0.0,30.0,1.0,True,0.14251410981774126,-0.8735455262093232,1.2281563715322839,2.101701897741607,-1.8213183038105498,-29.438281268525863,24.489953889162848,False
W_VAL,0.0,60.0,1.0,True,0.14251410981774126,-0.7985447490636622,1.16159076345684,1.9601355125205022,-1.8213183038105498,-29.823902845268172,22.581912594287374,False
W_VAL,0.0,90.0,1.0,True,0.14251410981774126,-0.727956335893774,1.0714115896710368,1.7993679255648107,-1.8213183038105498,-28.605866371768418,20.89827532379136,False
W_VAL,0.0,120.0,1.0,True,0.14251410981774126,-0.6930828232223355,1.0372092532095938,1.7302920764319292,-1.8213183038105498,-28.353504472838008,20.696452372216342,False
W_VAL,0.08,5.0,1.0,True,0.519421585801171,-0.5792752563661377,1.6812169113797781,2.260492167745916,-16.46491484516158,-35.66926176166988,17.61554604930254,False
W_VAL,0.08,10.0,1.0,True,0.519421585801171,-0.5649616033742706,1.636498974385392,2.2014605777596623,-16.46491484516158,-37.6830916625621,16.822694297397707,False
W_VAL,0.08,20.0,1.0,True,0.519421585801171,-0.511170448784782,1.5833183258297128,2.094488774614495,-16.46491484516158,-36.57241441103232,18.980952131790282,False
W_VAL,0.08,30.0,1.0,True,0.519421585801171,-0.5155969093822909,1.5661183839217128,2.0817152933040037,-16.46491484516158,-39.26227651607196,18.60501915281184,False
W_VAL,0.08,60.0,1.0,True,0.519421585801171,-0.45866726101989,1.564455400069719,2.023122661089609,-16.46491484516158,-39.338133146077574,16.89778087709429,False
W_VAL,0.08,90.0,1.0,True,0.519421585801171,-0.3931270607807847,1.5136387376724991,1.9067657984532838,-16.46491484516158,-38.248270039578756,15.3871038975799,False
W_VAL,0.08,120.0,1.0,True,0.519421585801171,-0.36645284685765933,1.4399890852565798,1.806441932114239,-16.46491484516158,-37.72310451688507,14.974327162819698,False
