window,population,horizon_days,n_events,n_events_nonoverlap,mean_fwd_log_ret,mean_fwd_lo,mean_fwd_hi,mean_fwd_nonoverlap,mean_fwd_nonoverlap_lo,mean_fwd_nonoverlap_hi,uncond_mean_fwd_log_ret,stopping_premium_flat,stopping_premium_flat_lo,stopping_premium_flat_hi,stopping_premium_rotate,stopping_premium_rotate_lo,stopping_premium_rotate_hi,p_negative,autocorr_h
PRE_HOLDOUT,all_assets,0.25,5170,1629,0.0015273916088064683,-0.00011646409857505227,0.0033297408010450054,0.0016240832635422435,-0.000590161059675584,0.004219644481203702,0.00011888876719883393,-0.0015273916088064683,-0.0033297408010450054,0.00011646409857505227,-0.0004009091013211767,-0.0011084427152483636,0.0002664214522760214,0.4671179883945841,-0.02354341560146463
PRE_HOLDOUT,all_assets,0.5,5169,1218,0.0017059096625530725,-0.0011751927137504696,0.0045695983779285255,0.0008328444507568242,-0.0028850127116144876,0.004981535115747285,0.0002383061197248694,-0.0017059096625530725,-0.0045695983779285255,0.0011751927137504696,0.00027384967915963353,-0.0007437343704730831,0.0012505131963742575,0.4596633778293674,-0.014300224373809687
PRE_HOLDOUT,all_assets,1.0,5169,886,0.0011891506813410807,-0.004298170260549852,0.006036922806914357,0.0006678962759265731,-0.005129527746665756,0.007282157342975402,0.0004759143460063088,-0.0011891506813410807,-0.006036922806914357,0.004298170260549852,0.0013125620927775983,-0.0003217358514426584,0.0028592200740068067,0.4643064422518862,-0.07844988133807565
PRE_HOLDOUT,all_assets,2.0,5169,647,0.00017170881228618983,-0.007826480602544601,0.008257262169053425,0.004670892466866968,-0.005378994059792374,0.01617380732688027,0.0008998023407115577,-0.00017170881228618983,-0.008257262169053425,0.007826480602544601,0.0018273874006982927,-0.0009860778071777887,0.004344335201165771,0.5089959373186302,-0.01935222739762783
PRE_HOLDOUT,all_assets,3.0,5163,531,-0.003017226651003954,-0.01495233393877136,0.008281440494330316,0.004834266044546694,-0.008181903114219798,0.01884071090367846,0.001316510388800527,0.003017226651003954,-0.008281440494330316,0.01495233393877136,0.004016534393547114,0.00037100566107563286,0.007883166203260414,0.505326360643037,0.02305006789934207
PRE_HOLDOUT,all_assets,5.0,5144,427,-0.0034318779799675622,-0.02092339407521729,0.014213551985317284,0.0030170295318967563,-0.02238830526666204,0.0279654155069573,0.0022061958497725112,0.0034318779799675622,-0.014213551985317284,0.02092339407521729,0.0031997577694010087,-0.0017574645373522704,0.008273730207877148,0.49708398133748055,0.05893001123301583
PRE_HOLDOUT,all_assets,7.0,5143,355,0.0034061328835631693,-0.017898089875491557,0.022185124639134787,0.008628643653556842,-0.022864220848765465,0.04280271896325476,0.0029559048458112857,-0.0034061328835631693,-0.022185124639134787,0.017898089875491557,0.003124811819119864,-0.0023104744923404075,0.008961800934376719,0.4839587789228077,-0.037998378758270425
PRE_HOLDOUT,all_assets,10.0,5126,297,0.004545223241182681,-0.021005232795184663,0.02885084553466299,0.010322321326418735,-0.024284800397887503,0.046517027078960306,0.0039053532221553257,-0.004545223241182681,-0.02885084553466299,0.021005232795184663,0.0058161483348765355,-0.0010941346304659755,0.012653647314619163,0.4910261412407335,-0.022166170722130125
PRE_HOLDOUT,all_assets,14.0,5108,248,0.01125614001108723,-0.019625035088935646,0.04459364074676466,0.03410253468300855,-0.016469681742315178,0.09162639201430998,0.005331195762549659,-0.01125614001108723,-0.04459364074676466,0.019625035088935646,0.006982617306799901,-0.002352195942101564,0.016569834494029857,0.5207517619420516,-0.06131044041380729
PRE_HOLDOUT,all_assets,21.0,5073,202,0.022214585444498308,-0.018584056626867067,0.06634833846483815,0.03299908648608636,-0.04583101959817962,0.12689882044866535,0.008242842612044558,-0.022214585444498308,-0.06634833846483815,0.018584056626867067,0.007547051794527172,-0.0031194424047503153,0.018179159700201696,0.495170510546028,0.17487246669094464
