arm,window,universe,bench,hold_days,turnover_per_day,rebalances_per_day,implied_log_drag_total,mean_notional,gross_growth_diff,gross_growth_lo,gross_growth_hi,net_growth_diff,net_growth_lo,net_growth_hi,net_dd_diff,net_dd_lo,net_dd_hi,cand_final,bench_final,cand_dd,bench_dd,n_days,p_delta_in,p_buffer,p_hold_days,p_delta_out,p_k,volmatch_c_net,volmatch_vol_net,volmatch_matched_net,cand_vol_net,volmatch_c_gross,volmatch_vol_gross,volmatch_matched_gross,cand_vol_gross,n_bars,tenure_days,membership_change_rate_thresholded
R63_REF,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,nan,0.0,0.0,0.0,1,1.0,0.9450786722179523,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,0.8989782404585822,184320,0.2438911421561264,3.821875
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.2616516762060507,4.475293409757335,3.8640625,2.8641877822446946,0.54675115779283,-2.0967205691000323,-4.7630226828057,0.6392459032816697,-4.9818825165500105,-8.512973236132241,-1.448229643983467,31.85336074632893,10.015906632997387,62.828790973685095,54.52921223305445,7970.357715921371,96.60138208939222,64.74802134306329,639,0.0,0.0,0.0,0.0,1,1.0,0.9450786722179523,True,0.9533482246376135,0.9471664375788708,0.8965418397216038,True,0.8989782404585822,184320,0.2438911421561264,3.821875
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.29739776951672864,4.163636886711765,3.4046875,2.6647276074955295,0.5447013470014764,-1.9235623567984037,-4.636126313246961,0.769865230864632,-4.619998910597689,-8.202793835178044,-1.2163882702959206,30.579910955270222,7.661819514143042,62.20341610972434,78.30568206930546,7970.357715921371,95.32793229833351,64.74802134306329,639,0.005,0.0,0.0,0.0,1,1.0,0.9450786722179523,True,0.9495340433124971,0.9451493819194472,0.8947794110381215,True,0.897063804858171,184320,0.2616414631516524,3.3625
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.3105288694808345,4.047152648186661,3.2625,2.590177694839463,0.542528458347895,-1.8946680167302317,-4.581091120971422,0.765567613729217,-4.516920045967727,-8.104381755595535,-1.1161555664727631,30.373814095413977,7.09815959809671,61.928826496189416,86.82844599495769,7972.22224462081,95.09821482706975,64.72440073165578,639,0.01,0.0,0.0,0.0,1,0.9995287856735066,0.944610108748826,True,0.948616934039556,0.9449445104163499,0.894581654522783,True,0.8968693564317198,184320,0.2683028776778777,3.2203125
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.320962888665998,3.956798954366189,3.15625,2.532351330794361,0.5376565997347963,-1.9300301904627388,-4.590141636613286,0.7153373818623859,-4.498289630609387,-8.073102312094765,-1.1165848033895278,30.129301696918745,7.199340433283283,61.920184246278545,88.90080153344913,8011.805835713235,94.79528594556706,64.66598424864831,639,0.02,0.0,0.0,0.0,1,0.9982870448419006,0.9439240521012165,True,0.9474384423368323,0.9448549951905115,0.894600414895073,True,0.8967843953973909,184320,0.2725943476775956,3.115625
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.33613445378151263,3.803774819370665,3.015625,2.4344158843972257,0.5310557355330268,-1.9986690486236638,-4.667636520522266,0.6269942206566014,-4.471908677381704,-8.012632984936182,-1.1155268650307224,30.215252419144832,7.25363199093087,62.1631289762375,91.22529709876926,8007.17800069125,94.56299777678521,64.34774535764038,639,0.04,0.0,0.0,0.0,1,0.9955188786545627,0.9413971911313451,True,0.9448112750564273,0.9435750649425466,0.8932632044170071,True,0.8955695830934769,184320,0.28060823243114913,2.975
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.37317784256559766,3.441866237264869,2.715625,2.2027943918495163,0.5133012271633356,-1.722605745813588,-4.348621285623432,0.8828844704544972,-3.9660512177302447,-7.646760016464012,-0.6542326394676369,28.357321005690572,2.298906737700705,61.50423466082856,150.98506724391243,7990.89591340695,92.24249315659196,63.88517215090139,639,0.08,0.0,0.0,0.0,1,0.9861716957256383,0.9319961875665467,True,0.935940198866292,0.9359959148318885,0.8861476271266897,True,0.8883760310836871,184320,0.29802627273917026,2.6796875
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.4377564979480164,2.9190171729132444,2.3203125,1.8681709906644766,0.49465281673819916,-1.323097586104773,-3.9143478075753353,1.2057682377158845,-3.2276069756928405,-6.6930784205939045,-0.059919385099353684,26.84974803654893,-4.5665824337094305,59.63260881673263,312.19840053292546,7895.450200956802,90.19068612588693,63.340938089337996,639,0.12,0.0,0.0,0.0,1,0.9757173311047246,0.922255225881723,True,0.9260183362284486,0.9309114120123745,0.8811462226195935,True,0.8835502082747864,184320,0.3351472164790566,2.284375
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.5975723622782446,2.1127815343813228,1.7140625,1.3521801820040467,0.4894536286918926,-0.972070145714047,-3.582555913628595,1.4143829931644718,-2.360342464118058,-5.663644809547693,0.5877488399190217,23.467529963501008,-12.841337495482211,54.8152738572354,735.0646009958172,7808.948936700057,85.41283408401075,61.945304120509746,639,0.16,0.0,0.0,0.0,1,0.9508078001634054,0.8999104082143753,True,0.9023775935018693,0.914904585039544,0.8657753529343832,True,0.8683577472917483,184320,0.4509446534963939,1.6734375
entry_gate,W_TRAIN,U8,VOLMATCH_HOLD,0.8421052631578947,1.4765841224980218,1.2234375,0.9450138383987341,0.459891179555424,-0.962187394319717,-3.6012794594665403,1.477468826282798,-1.9602592630109723,-5.213906520809282,0.8948773491410261,22.313317895862035,-16.947548287247752,52.54712404110341,1075.142569695947,7655.307535638451,83.43244839615008,61.119130500288044,639,0.22,0.0,0.0,0.0,1,0.9374816132552087,0.88758486968137,True,0.8897301872955804,0.9100865734769358,0.8595795356500192,True,0.8637848576862697,184320,0.5957539154846336,1.1875
